country,last_updated,uv_index,Continent,month_name,year_name
Bulgaria,31/08/2023 02:45,1,Europe,August,2023
Burkina Faso,30/08/2023 23:45,1,Africa,August,2023
Burundi,31/08/2023 01:45,1,Africa,August,2023
Madagascar,31/08/2023 02:45,1,Indian,August,2023
Cape Verde,30/08/2023 22:45,1,Atlantic,August,2023
Cambodia,31/08/2023 06:45,7,Asia,August,2023
Cameroon,31/08/2023 00:45,1,Africa,August,2023
Canada,30/08/2023 19:45,5,America,August,2023
Central African Republic,31/08/2023 00:45,1,Africa,August,2023
Chad,31/08/2023 00:45,1,Africa,August,2023
Chile,30/08/2023 19:45,1,America,August,2023
China,31/08/2023 07:45,4,Asia,August,2023
Bulgaria,31/08/2023 02:45,1,Europe,August,2023
Comoros,31/08/2023 02:45,1,Indian,August,2023
Congo,31/08/2023 00:45,1,Africa,August,2023
Costa Rica,30/08/2023 17:45,5,America,August,2023
Croatia,31/08/2023 01:45,1,Europe,August,2023
Cuba,30/08/2023 19:45,7,America,August,2023
Cyprus,31/08/2023 02:45,1,Asia,August,2023
Czech Republic,31/08/2023 01:45,1,Europe,August,2023
Democratic Republic of Congo,31/08/2023 00:45,1,Africa,August,2023
Denmark,31/08/2023 01:45,1,Europe,August,2023
Djibouti,31/08/2023 02:45,1,Africa,August,2023
Dominica,30/08/2023 19:45,1,America,August,2023
Dominican Republic,30/08/2023 19:45,1,America,August,2023
Ecuador,30/08/2023 18:45,4,America,August,2023
Egypt,31/08/2023 02:45,1,Africa,August,2023
El Salvador,30/08/2023 17:45,6,America,August,2023
Equatorial Guinea,31/08/2023 00:45,1,Africa,August,2023
Eritrea,31/08/2023 02:45,1,Africa,August,2023
Estonia,31/08/2023 02:45,1,Europe,August,2023
Swaziland,31/08/2023 01:45,1,Africa,August,2023
Ethiopia,31/08/2023 02:45,1,Africa,August,2023
Fiji Islands,31/08/2023 11:45,5,Pacific,August,2023
Finland,31/08/2023 02:45,1,Europe,August,2023
France,31/08/2023 01:45,1,Europe,August,2023
Gabon,31/08/2023 00:45,1,Africa,August,2023
Gambia,30/08/2023 23:45,1,Africa,August,2023
Georgia,31/08/2023 03:45,1,Asia,August,2023
Germany,31/08/2023 01:45,1,Europe,August,2023
Ghana,30/08/2023 23:45,1,Africa,August,2023
Greece,31/08/2023 02:45,1,Europe,August,2023
Grenada,30/08/2023 19:45,1,America,August,2023
Guatemala,30/08/2023 17:45,5,America,August,2023
Guinea,30/08/2023 23:45,1,Africa,August,2023
Guinea-Bissau,30/08/2023 23:45,1,Africa,August,2023
Guyana,30/08/2023 19:45,1,America,August,2023
Haiti,30/08/2023 19:45,6,America,August,2023
Vatican City,31/08/2023 01:45,1,Europe,August,2023
Honduras,30/08/2023 17:45,5,America,August,2023
Hungary,31/08/2023 01:45,1,Europe,August,2023
Iceland,30/08/2023 23:45,1,Atlantic,August,2023
India,31/08/2023 05:15,1,Asia,August,2023
Indonesia,31/08/2023 06:45,7,Asia,August,2023
Iran,31/08/2023 03:15,1,Asia,August,2023
Iraq,31/08/2023 02:45,1,Asia,August,2023
Ireland,31/08/2023 00:45,1,Europe,August,2023
Israel,31/08/2023 02:45,1,Asia,August,2023
Italy,31/08/2023 01:45,1,Europe,August,2023
Jamaica,30/08/2023 18:45,7,America,August,2023
Japan,31/08/2023 08:45,7,Asia,August,2023
Jordan,31/08/2023 02:45,1,Asia,August,2023
Kazakhstan,31/08/2023 05:45,1,Asia,August,2023
Kenya,31/08/2023 02:45,1,Africa,August,2023
Kiribati,31/08/2023 11:45,6,Pacific,August,2023
Kuwait,31/08/2023 02:45,1,Asia,August,2023
Kyrghyzstan,31/08/2023 05:45,1,Asia,August,2023
Indonesia,31/08/2023 06:45,6,Asia,August,2023
Latvia,31/08/2023 02:45,1,Europe,August,2023
Lebanon,31/08/2023 02:45,1,Asia,August,2023
Lesotho,31/08/2023 01:45,1,Africa,August,2023
Liberia,30/08/2023 23:45,1,Africa,August,2023
Thailand,31/08/2023 06:45,1,Asia,August,2023
Liechtenstein,31/08/2023 01:45,1,Europe,August,2023
Lithuania,31/08/2023 02:45,1,Europe,August,2023
Luxembourg,31/08/2023 01:45,1,Europe,August,2023
Madagascar,31/08/2023 02:45,1,Indian,August,2023
